name,head_size,length,power,flex,tension,brand,beam_width,weight,balance,speed,composition,price,swing_weight
Racquet48,100.0,27.0,1,49.0,52.5,Wilson,24.5,302.5,0,2,high performance carbon fiber,249.0,327.0
Racquet49,95.0,27.0,0,64.0,52.5,Yonex,21.5,318.0,0,2,2g-namd flex force   graphite   vdm,239.0,324.0
Racquet50,100.0,27.0,0,56.0,57.5,Pro,21.0,325.0,0,2,spiraltech graphite,199.0,325.0
Racquet51,100.0,27.0,1,70.0,55.0,Dunlop,24.0,292.5,0,1,sonic core with infinergy   graphite,199.99,315.0
Racquet52,100.0,27.0,0,68.0,52.5,Head,22.0,294.0,0,2,graphene xt   graphite,89.95,317.0
Racquet53,100.0,27.0,1,69.0,55.0,Volkl,24.3,283.5,0,1,v-cell graphite,189.99,304.0
Racquet54,100.0,27.5,1,70.0,47.5,Yonex,23.8,307.5,0,1,hm graphite   m40x with vdm hm graphite   m40x   vdm,229.0,335.0
Racquet55,100.0,27.0,1,65.0,55.0,Dunlop,24.0,309.0,0,1,sonic core with infinergy & graphite,199.99,326.0
Racquet56,98.0,27.0,0,64.0,52.5,Head,21.3,303.5,0,2,graphene xt   graphite,99.95,322.0
Racquet57,100.0,27.0,0,68.0,55.0,Volkl,24.3,318.0,0,2,v-cell graphite,209.99,317.0
Racquet58,108.0,27.25,2,67.0,47.5,Yonex,26.3,263.5,0,0,hm graphite   m40x with vdm hm graphite   m40x   vdm,189.0,305.0
Racquet59,98.0,27.0,0,66.0,54.0,Tecnifibre,21.7,323.5,0,2,dynacore graphite xtc,229.95,325.0
Racquet60,100.0,26.6,1,68.0,52.5,Tecnifibre,24.3,291.5,0,1,graphite,179.95,298.0
Racquet61,100.0,27.0,0,62.0,52.5,Head,23.0,319.0,0,2,graphene 360+   graphite,239.95,330.0
Racquet62,102.0,27.0,1,68.0,52.5,Babolat,24.0,289.5,0,1,graphite,99.0,312.0
Racquet63,105.0,27.0,1,66.0,57.0,Head,23.7,283.5,2,1,graphene 360+   graphite,189.95,310.0
Racquet64,100.0,27.0,1,71.0,55.0,Dunlop,24.0,278.0,0,0,sonic core with infinergy   graphite,179.99,295.0
Racquet65,93.0,27.0,0,65.0,52.5,Head,20.0,327.5,0,2,graphene 360+   graphite,229.95,328.0
Racquet66,98.0,27.0,1,64.0,52.5,Yonex,22.0,292.5,0,2,hm graphite   m40x with vdm hm graphite   m40x   vdm,219.0,312.0
Racquet67,95.0,27.0,0,65.0,52.5,Head,22.0,323.0,0,2,graphene 360+   graphite,229.95,327.0
Racquet68,100.0,27.0,0,64.0,52.5,Head,23.0,283.5,0,1,graphene 360+   graphite,219.95,317.0
Racquet69,105.0,27.6,2,68.0,53.0,Volkl,25.0,283.5,0,0,v-cell graphite,219.99,305.0
Racquet70,98.0,27.0,1,70.0,55.0,Dunlop,22.0,312.5,0,2,sonic core with infinergy   graphite,199.99,320.0
Racquet71,100.0,27.0,1,68.0,52.0,Wilson,24.3,266.0,0,1,high performance carbon fiber,179.0,290.0
Racquet72,100.0,27.0,0,67.0,55.0,Volkl,22.7,306.0,0,2,v-cell graphite,209.99,312.0
Racquet73,112.0,27.5,2,72.0,54.5,Babolat,27.7,271.0,2,0,graphite,129.0,324.0
Racquet74,98.0,27.0,1,68.0,52.5,Yonex,22.7,278.0,0,1,hm graphite   m40x with vdm hm graphite   m40x   vdm,179.0,300.0
Racquet75,100.0,27.0,0,67.0,52.5,Head,22.0,307.5,0,2,graphene xt   graphite,99.95,320.0
Racquet76,97.0,27.0,0,64.0,52.5,Yonex,20.0,318.0,0,2,h.m. graphite black micro core namd,239.0,317.0
Racquet77,102.0,28.0,0,68.0,52.5,Wilson,22.0,314.0,0,2,braided graphite   countervail,249.0,347.0
Racquet78,102.0,27.0,1,67.0,52.5,Babolat,24.0,267.5,2,1,graphite,99.0,306.0
Racquet79,102.0,27.0,1,68.0,52.5,Yonex,24.7,258.0,2,1,hm graphite   m40x with vdm hm graphite   m40x   vdm,159.0,299.0
Racquet80,107.0,27.5,2,70.0,55.0,Dunlop,24.3,273.0,1,0,sonic core with infinergy   graphite,179.99,320.0
Racquet81,100.0,27.0,1,70.0,54.5,Babolat,24.0,309.0,0,2,htr   graphite,229.0,320.0
